date,rank,song,artist,last_week,peak_rank,weeks_on_board
1994-04-16,79,Beautiful In My Eyes,Joshua Kadison,79.0,79,231
1959-08-17,86,Primrose Lane,Jerry Wallace With The Jewels,86.0,86,231
1978-10-07,84,Hold The Line,Toto,84.0,84,231
1988-11-05,90,All This Time,Tiffany,90.0,90,231
1989-12-16,68,Here We Are,Gloria Estefan,68.0,68,231
1985-03-02,55,Crazy For You,Madonna,55.0,55,231
1982-10-30,75,Africa,Toto,75.0,75,231
1981-08-22,68,The Night Owls,Little River Band,68.0,68,231
1969-05-31,96,Hurt So Bad,The Lettermen,96.0,96,231
1990-08-18,98,Joey,Concrete Blonde,98.0,98,231
1975-12-13,82,Golden Years,David Bowie,82.0,82,231
1988-04-09,86,Nite And Day,Al B. Sure!,86.0,86,231
2003-10-25,73,Fallen,Sarah McLachlan,73.0,73,231
1960-01-11,96,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,96.0,96,231
2010-08-28,97,Love Like Woe,The Ready Set,97.0,97,231
1992-04-18,76,Damn I Wish I Was Your Lover,Sophie B. Hawkins,76.0,76,231
1991-09-07,85,O.P.P.,Naughty By Nature,85.0,85,231
1980-05-24,38,It's Still Rock And Roll To Me,Billy Joel,38.0,38,231
1983-09-10,83,Heart And Soul,Huey Lewis & The News,83.0,83,231
1985-10-12,87,Everybody Dance,Ta Mara & The Seen,87.0,87,231
1983-06-25,75,Puttin' On The Ritz,Taco,75.0,75,231
2007-10-20,97,Into The Night,Santana Featuring Chad Kroeger,97.0,97,231
1977-05-28,86,Just A Song Before I Go,"Crosby, Stills & Nash",86.0,86,231
2010-08-28,96,Rhythm of Love,Plain White T's,99.0,96,231
2007-08-25,65,S.O.S.,Jonas Brothers,65.0,65,231
2020-07-25,73,Be Like That,Kane Brown With Swae Lee & Khalid,73.0,73,231
2005-01-29,63,Obsession (No Es Amor),Frankie J Featuring Baby Bash,63.0,63,231
2009-04-04,100,I Run To You,Lady Antebellum,100.0,100,231
2017-07-15,94,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,94.0,94,231
1987-06-13,78,Don't Mean Nothing,Richard Marx,78.0,78,231
1988-01-23,53,Endless Summer Nights,Richard Marx,53.0,53,231
1996-08-17,97,Jellyhead,Crush,97.0,97,231
2000-05-27,85,Wifey,Next,85.0,85,231
2006-05-20,86,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,86.0,86,231
1988-05-21,69,Hold On To The Nights,Richard Marx,69.0,69,231
2011-01-15,98,A Little Bit Stronger,Sara Evans,98.0,98,231
1995-11-25,1,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,1.0,1,231
1987-05-02,88,Something So Strong,Crowded House,88.0,88,231
1989-07-08,44,Right Here Waiting,Richard Marx,44.0,44,231
1986-12-20,73,I Wanna Go Back,Eddie Money,73.0,73,231
1986-06-07,62,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,62.0,62,231
2010-01-09,39,Naturally,Selena Gomez & The Scene,39.0,39,231
